lg,item,syn,sentence,condition,headn,attn,verbn,model_type,attention_entropy,attention_diff
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladılar,condition_a,sg,pl,pl,bert,0.89927626,-0.004947583998649384
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladı,condition_b,sg,pl,sg,bert,0.86325806,-0.008182263621053655
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladılar,condition_c,sg,sg,pl,bert,0.91378975,-0.013014539823129211
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladı,condition_d,sg,sg,sg,bert,0.8930659,-0.013042842105380714
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldılar,condition_a,sg,pl,pl,bert,1.021093,-0.0010634577019459357
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldı,condition_b,sg,pl,sg,bert,0.9138468,-0.002191546866711039
turkish,2,0,öğrencinin ablası sınıfta birden bayıldılar,condition_c,sg,sg,pl,bert,1.0134062,0.0005682665862101026
turkish,2,0,öğrencinin ablası sınıfta birden bayıldı,condition_d,sg,sg,sg,bert,0.919462,-0.0031783796420945983
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,bert,1.0509806,-0.047858503874223676
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,bert,1.0533783,-0.03718128191283228
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,bert,1.047995,-0.044944380396901094
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,bert,1.0478871,-0.03434310140919691
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldüler,condition_a,sg,pl,pl,bert,0.88726676,-0.032383304701892254
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldü,condition_b,sg,pl,sg,bert,0.9166359,-0.021427585435637296
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldüler,condition_c,sg,sg,pl,bert,0.8849374,-0.033813559092047286
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldü,condition_d,sg,sg,sg,bert,0.9181913,-0.02048390133846851
turkish,5,0,kızların halası sabaha kadar ağladılar,condition_a,sg,pl,pl,bert,0.9634611,-0.0095149685218189
turkish,5,0,kızların halası sabaha kadar ağladı,condition_b,sg,pl,sg,bert,0.9599145,-0.001973492947354317
turkish,5,0,kızın halası sabaha kadar ağladılar,condition_c,sg,sg,pl,bert,0.94780463,-0.004058024796927382
turkish,5,0,kızın halası sabaha kadar ağladı,condition_d,sg,sg,sg,bert,0.95761776,-0.003189093937180587
turkish,6,0,damatların dayısı arada sırada sıkıldılar,condition_a,sg,pl,pl,bert,1.0055249,-0.0008524446941394516
turkish,6,0,damatların dayısı arada sırada sıkıldı,condition_b,sg,pl,sg,bert,1.0253342,0.006524790837581423
turkish,6,0,damatın dayısı arada sırada sıkıldılar,condition_c,sg,sg,pl,bert,1.0106198,-0.0005299376692681004
turkish,6,0,damatın dayısı arada sırada sıkıldı,condition_d,sg,sg,sg,bert,1.0520633,-0.0008374518618154553
turkish,7,0,doktorların çiçekçisi günden güne zayıfladılar,condition_a,sg,pl,pl,bert,0.9067565,0.0016108420314843372
turkish,7,0,doktorların çiçekçisi günden güne zayıfladı,condition_b,sg,pl,sg,bert,0.8624588,0.004676774569074383
turkish,7,0,doktorun çiçekçisi günden güne zayıfladılar,condition_c,sg,sg,pl,bert,0.8975049,-0.0025635189761349132
turkish,7,0,doktorun çiçekçisi günden güne zayıfladı,condition_d,sg,sg,sg,bert,0.8754724,0.002411020230326244
turkish,8,0,stajyerlerin eniştesi geceden önce uyudular,condition_a,sg,pl,pl,bert,1.037236,-0.04530453799779934
turkish,8,0,stajyerlerin eniştesi geceden önce uyudu,condition_b,sg,pl,sg,bert,1.0164433,-0.03309464889866831
turkish,8,0,stajyerin eniştesi geceden önce uyudular,condition_c,sg,sg,pl,bert,1.0338733,-0.03402913608092604
turkish,8,0,stajyerin eniştesi geceden önce uyudu,condition_d,sg,sg,sg,bert,1.0127308,-0.029429951154270384
turkish,9,0,aristokratların hizmetçisi yorgun argın yattılar,condition_a,sg,pl,pl,bert,0.98646104,-0.05313068759008104
turkish,9,0,aristokratların hizmetçisi yorgun argın yattı,condition_b,sg,pl,sg,bert,0.99547327,-0.04169381785248873
turkish,9,0,aristokratın hizmetçisi yorgun argın yattılar,condition_c,sg,sg,pl,bert,0.98895025,-0.05406576929618864
turkish,9,0,aristokratın hizmetçisi yorgun argın yattı,condition_d,sg,sg,sg,bert,1.0056782,-0.04392502024226203
turkish,10,0,konuşmacıların sunucusu olağanüstü hızlı koştular,condition_a,sg,pl,pl,bert,0.9601306,-0.04023834379198448
turkish,10,0,konuşmacıların sunucusu olağanüstü hızlı koştu,condition_b,sg,pl,sg,bert,0.94950265,-0.032407008835542685
turkish,10,0,konuşmacının sunucusu olağanüstü hızlı koştular,condition_c,sg,sg,pl,bert,0.95647335,-0.04247126625213582
turkish,10,0,konuşmacının sunucusu olağanüstü hızlı koştu,condition_d,sg,sg,sg,bert,0.93522006,-0.03111190318257684
turkish,11,0,psikiyatristlerin eczacısı aç susuz dolaştılar,condition_a,sg,pl,pl,bert,0.8512657,-0.02405285068889498
turkish,11,0,psikiyatristlerin eczacısı aç susuz dolaştı,condition_b,sg,pl,sg,bert,0.84723186,-0.019296867924640537
turkish,11,0,psikiyatristin eczacısı aç susuz dolaştılar,condition_c,sg,sg,pl,bert,0.8455061,-0.019770287125447795
turkish,11,0,psikiyatristin eczacısı aç susuz dolaştı,condition_d,sg,sg,sg,bert,0.8449109,-0.015914108334800406
turkish,12,0,politikacıların hocası adliyeden çabucak çıktılar,condition_a,sg,pl,pl,bert,0.83119535,-0.02256400038509554
turkish,12,0,politikacıların hocası adliyeden çabucak çıktı,condition_b,sg,pl,sg,bert,0.82734394,-0.019506468092446026
turkish,12,0,politikacının hocası adliyeden çabucak çıktılar,condition_c,sg,sg,pl,bert,0.8298129,-0.02410008994458508
turkish,12,0,politikacının hocası adliyeden çabucak çıktı,condition_d,sg,sg,sg,bert,0.83604926,-0.023283183119556836
turkish,13,0,hakimlerin çaycısı nedensiz yere kızdılar,condition_a,sg,pl,pl,bert,1.0246754,-0.008501995996743974
turkish,13,0,hakimlerin çaycısı nedensiz yere kızdı,condition_b,sg,pl,sg,bert,0.9964641,0.0027894422839381157
turkish,13,0,hakimin çaycısı nedensiz yere kızdılar,condition_c,sg,sg,pl,bert,1.0092083,0.0012343456853159303
turkish,13,0,hakimin çaycısı nedensiz yere kızdı,condition_d,sg,sg,sg,bert,0.9996352,0.0068188390586328765
turkish,14,0,oyuncuların hemşiresi etrafta amaçsızca gezdiler,condition_a,sg,pl,pl,bert,1.0229228,-0.02166973564585533
