Item,Condition,Stimulus,NP_Number,Auxiliary,Full_Sentence,model_type,source_file,attention_entropy,attention_diff
1,a,The slogan on the poster,singular,is,The slogan on the poster is designed to get attention.,bert,no_syn,1.0185986,0.02118501453425097
1,b,The slogan on the posters,plural,is,The slogan on the posters is designed to get attention.,bert,no_syn,1.0278667,0.01527850060472815
1,c,The slogan on the poster,singular,are,The slogan on the poster are designed to get attention.,bert,no_syn,1.1222608,0.026211406380207334
1,d,The slogan on the posters,plural,are,The slogan on the posters are designed to get attention.,bert,no_syn,1.0825323,0.018472875449421618
2,a,The picture on the flier,singular,is,The picture on the flier is of a village church in the south of France.,bert,no_syn,1.3167045,0.00017306802669736499
2,b,The picture on the fliers,plural,is,The picture on the fliers is of a village church in the south of France.,bert,no_syn,1.3164655,-0.003005653225500282
2,c,The picture on the flier,singular,are,The picture on the flier are of a village church in the south of France.,bert,no_syn,1.4093847,-0.008002793448645205
2,d,The picture on the fliers,plural,are,The picture on the fliers are of a village church in the south of France.,bert,no_syn,1.3869131,-0.015364796717949502
3,a,The mistake in the program,singular,is,The mistake in the program is disastrous for the small software company.,bert,no_syn,1.14838,-0.005560395786625349
3,b,The mistake in the programs,plural,is,The mistake in the programs is disastrous for the small software company.,bert,no_syn,1.1543354,-0.006800783752899522
3,c,The mistake in the program,singular,are,The mistake in the program are disastrous for the small software company.,bert,no_syn,1.2208523,-0.0016616533298304155
3,d,The mistake in the programs,plural,are,The mistake in the programs are disastrous for the small software company.,bert,no_syn,1.1866249,-0.008011681550050298
4,a,The label on the container,singular,is,The label on the container is a warning about the hazardous chemicals inside.,bert,no_syn,1.4104027,0.02707247591563373
4,b,The label on the containers,plural,is,The label on the containers is a warning about the hazardous chemicals inside.,bert,no_syn,1.4155016,0.025909353862283525
4,c,The label on the container,singular,are,The label on the container are a warning about the hazardous chemicals inside.,bert,no_syn,1.462637,0.013525046862116596
4,d,The label on the containers,plural,are,The label on the containers are a warning about the hazardous chemicals inside.,bert,no_syn,1.4431622,0.0077100246513054985
5,a,The problem in the store,singular,is,The problem in the store is solved by firing the custodian.,bert,no_syn,1.261967,0.013568614043742853
5,b,The problem in the stores,plural,is,The problem in the stores is solved by firing the custodian.,bert,no_syn,1.2820504,0.0090984752672739
5,c,The problem in the store,singular,are,The problem in the store are solved by firing the custodian.,bert,no_syn,1.3601564,0.008027003939241696
5,d,The problem in the stores,plural,are,The problem in the stores are solved by firing the custodian.,bert,no_syn,1.3351165,-0.0026073658568748215
