item,condition,attractor,case,verb,sentence,model_type,attention_entropy,attention_diff
1,amb_sg_sg,sg,amb,sg,Der Telephonanruf für die Studentin ist bekannt.,bert,1.1559552,-0.01593529843778619
1,amb_sg_pl,sg,amb,pl,Der Telephonanruf für die Studentin sind bekannt.,bert,1.142174,-0.010096361536022433
1,amb_pl_sg,pl,amb,sg,Der Telephonanruf für die Studentinnen ist bekannt.,bert,1.1465873,-0.015372678070933149
1,amb_pl_pl,pl,amb,pl,Der Telephonanruf für die Studentinnen sind bekannt.,bert,1.1510569,-0.021082614408963536
1,unamb_sg_sg,sg,unamb,sg,Der Telephonanruf bei der Studentin ist bekannt.,bert,1.1254456,-0.005700042387393994
1,unamb_sg_pl,sg,unamb,pl,Der Telephonanruf bei der Studentin sind bekannt.,bert,1.1253668,-0.002598117139132647
1,unamb_pl_sg,pl,unamb,sg,Der Telephonanruf bei den Studentinnen ist bekannt.,bert,1.1089035,-0.009319054470397832
1,unamb_pl_pl,pl,unamb,pl,Der Telephonanruf bei den Studentinnen sind bekannt.,bert,1.1640841,-0.014303625606398876
2,amb_sg_sg,sg,amb,sg,Der Antrag an das Amt ist bekannt.,bert,0.9729301,0.03118214158069712
2,amb_sg_pl,sg,amb,pl,Der Antrag an das Amt sind bekannt.,bert,1.039223,0.031171909297463298
2,amb_pl_sg,pl,amb,sg,Der Antrag an die Ämter ist bekannt.,bert,1.0048077,-0.01244339779627076
2,amb_pl_pl,pl,amb,pl,Der Antrag an die Ämter sind bekannt.,bert,1.0713307,-0.010449749069888804
2,unamb_sg_sg,sg,unamb,sg,Der Antrag bei dem Amt ist bekannt.,bert,1.0237762,0.021205492108120255
2,unamb_sg_pl,sg,unamb,pl,Der Antrag bei dem Amt sind bekannt.,bert,1.0912575,0.01973455734825956
2,unamb_pl_sg,pl,unamb,sg,Der Antrag bei den Ämtern ist bekannt.,bert,1.0480169,-0.015367293175938414
2,unamb_pl_pl,pl,unamb,pl,Der Antrag bei den Ämtern sind bekannt.,bert,1.1034534,-0.015818828575562688
3,amb_sg_sg,sg,amb,sg,Der Hinweis auf das Dokument ist bekannt.,bert,1.0100217,0.06944132014335264
3,amb_sg_pl,sg,amb,pl,Der Hinweis auf das Dokument sind bekannt.,bert,1.0643761,0.10370728148285178
3,amb_pl_sg,pl,amb,sg,Der Hinweis auf die Dokumente ist bekannt.,bert,1.0165989,0.05958558866465279
3,amb_pl_pl,pl,amb,pl,Der Hinweis auf die Dokumente sind bekannt.,bert,1.0657632,0.06075323215954319
3,unamb_sg_sg,sg,unamb,sg,Der Hinweis in dem Dokument ist bekannt.,bert,1.03952,0.041579519590301615
3,unamb_sg_pl,sg,unamb,pl,Der Hinweis in dem Dokument sind bekannt.,bert,1.124089,0.06340091299215565
3,unamb_pl_sg,pl,unamb,sg,Der Hinweis in den Dokumenten ist bekannt.,bert,1.0247618,0.03874520053155339
3,unamb_pl_pl,pl,unamb,pl,Der Hinweis in den Dokumenten sind bekannt.,bert,1.1094413,0.05571171428131545
4,amb_sg_sg,sg,amb,sg,Der Computer für die Universität ist bekannt.,bert,1.0643944,-0.022793989860697736
4,amb_sg_pl,sg,amb,pl,Der Computer für die Universität sind bekannt.,bert,1.0427891,-0.02372721337630416
4,amb_pl_sg,pl,amb,sg,Der Computer für die Universitäten ist bekannt.,bert,1.0643944,-0.022793989860697736
4,amb_pl_pl,pl,amb,pl,Der Computer für die Universitäten sind bekannt.,bert,1.0427891,-0.02372721337630416
4,unamb_sg_sg,sg,unamb,sg,Der Computer in der Universität ist bekannt.,bert,1.0888349,-0.03310073451274949
4,unamb_sg_pl,sg,unamb,pl,Der Computer in der Universität sind bekannt.,bert,1.0607209,-0.03207577114572413
4,unamb_pl_sg,pl,unamb,sg,Der Computer in den Universitäten ist bekannt.,bert,1.0675826,-0.032406070782558846
4,unamb_pl_pl,pl,unamb,pl,Der Computer in den Universitäten sind bekannt.,bert,1.0420527,-0.031672614495261646
