item,condition,attractor,case,verb,sentence,model_type,surprisal
1,amb_sg_sg,sg,amb,sg,Der Telephonanruf für die Studentin ist bekannt.,bert,1.2909477949142456
1,amb_sg_pl,sg,amb,pl,Der Telephonanruf für die Studentin sind bekannt.,bert,5.376327991485596
1,amb_pl_sg,pl,amb,sg,Der Telephonanruf für die Studentinnen ist bekannt.,bert,2.9395029544830322
1,amb_pl_pl,pl,amb,pl,Der Telephonanruf für die Studentinnen sind bekannt.,bert,1.9504482746124268
1,unamb_sg_sg,sg,unamb,sg,Der Telephonanruf bei der Studentin ist bekannt.,bert,0.859697163105011
1,unamb_sg_pl,sg,unamb,pl,Der Telephonanruf bei der Studentin sind bekannt.,bert,5.560935974121094
1,unamb_pl_sg,pl,unamb,sg,Der Telephonanruf bei den Studentinnen ist bekannt.,bert,0.4371725022792816
1,unamb_pl_pl,pl,unamb,pl,Der Telephonanruf bei den Studentinnen sind bekannt.,bert,5.443365573883057
2,amb_sg_sg,sg,amb,sg,Der Antrag an das Amt ist bekannt.,bert,0.6390509605407715
2,amb_sg_pl,sg,amb,pl,Der Antrag an das Amt sind bekannt.,bert,8.55612564086914
2,amb_pl_sg,pl,amb,sg,Der Antrag an die Ämter ist bekannt.,bert,0.8401808142662048
2,amb_pl_pl,pl,amb,pl,Der Antrag an die Ämter sind bekannt.,bert,7.081749439239502
2,unamb_sg_sg,sg,unamb,sg,Der Antrag bei dem Amt ist bekannt.,bert,0.5481962561607361
2,unamb_sg_pl,sg,unamb,pl,Der Antrag bei dem Amt sind bekannt.,bert,8.502920150756836
2,unamb_pl_sg,pl,unamb,sg,Der Antrag bei den Ämtern ist bekannt.,bert,0.80516517162323
2,unamb_pl_pl,pl,unamb,pl,Der Antrag bei den Ämtern sind bekannt.,bert,5.606745719909668
3,amb_sg_sg,sg,amb,sg,Der Hinweis auf das Dokument ist bekannt.,bert,0.28362318873405457
3,amb_sg_pl,sg,amb,pl,Der Hinweis auf das Dokument sind bekannt.,bert,7.836307048797607
3,amb_pl_sg,pl,amb,sg,Der Hinweis auf die Dokumente ist bekannt.,bert,0.409032940864563
3,amb_pl_pl,pl,amb,pl,Der Hinweis auf die Dokumente sind bekannt.,bert,7.428864479064941
3,unamb_sg_sg,sg,unamb,sg,Der Hinweis in dem Dokument ist bekannt.,bert,0.3124980330467224
3,unamb_sg_pl,sg,unamb,pl,Der Hinweis in dem Dokument sind bekannt.,bert,8.322104454040527
3,unamb_pl_sg,pl,unamb,sg,Der Hinweis in den Dokumenten ist bekannt.,bert,0.12531889975070953
3,unamb_pl_pl,pl,unamb,pl,Der Hinweis in den Dokumenten sind bekannt.,bert,7.189021587371826
4,amb_sg_sg,sg,amb,sg,Der Computer für die Universität ist bekannt.,bert,0.9338774085044861
4,amb_sg_pl,sg,amb,pl,Der Computer für die Universität sind bekannt.,bert,4.185937404632568
4,amb_pl_sg,pl,amb,sg,Der Computer für die Universitäten ist bekannt.,bert,0.9338774085044861
4,amb_pl_pl,pl,amb,pl,Der Computer für die Universitäten sind bekannt.,bert,4.185937404632568
4,unamb_sg_sg,sg,unamb,sg,Der Computer in der Universität ist bekannt.,bert,0.8911243677139282
4,unamb_sg_pl,sg,unamb,pl,Der Computer in der Universität sind bekannt.,bert,5.415164470672607
4,unamb_pl_sg,pl,unamb,sg,Der Computer in den Universitäten ist bekannt.,bert,0.6226669549942017
4,unamb_pl_pl,pl,unamb,pl,Der Computer in den Universitäten sind bekannt.,bert,4.996856212615967
5,amb_sg_sg,sg,amb,sg,Der Hilferuf für die Polizeizentrale ist bekannt.,bert,0.9395617842674255
