lg,item,syn,sentence,condition,headn,attn,verbn,model_type,surprisal
russian,1,0,Абонемент на концерт был дорогим из-за участия популярных артистов,SG-SG-SG,SG,SG,SG,bert,13.286438941955566
russian,1,0,Абонемент на концерт были дорогими из-за участия популярных артистов,SG-SG-PL,SG,SG,PL,bert,12.053781509399414
russian,1,0,Абонемент на концерты был дорогим из-за участия популярных артистов,SG-PL-SG,SG,PL,SG,bert,13.287172317504883
russian,1,0,Абонемент на концерты были дорогими из-за участия популярных артистов,SG-PL-PL,SG,PL,PL,bert,12.129947662353516
russian,1,0,Абонементы на концерт был дорогим из-за участия популярных артистов,PL-SG-SG,PL,SG,SG,bert,13.394514083862305
russian,1,0,Абонементы на концерт были дорогими из-за участия популярных артистов,PL-SG-PL,PL,SG,PL,bert,12.285648345947266
russian,1,0,Абонементы на концерты был дорогим из-за участия популярных артистов,PL-PL-SG,PL,PL,SG,bert,13.55430793762207
russian,1,0,Абонементы на концерты были дорогими из-за участия популярных артистов,PL-PL-PL,PL,PL,PL,bert,12.405223846435547
russian,2,0,Анекдот про экзамен для строгого пожилого учителя был обидным,SG-SG-SG,SG,SG,SG,bert,13.048517227172852
russian,2,0,Анекдот про экзамен для строгого пожилого учителя были обидными,SG-SG-PL,SG,SG,PL,bert,12.288911819458008
russian,2,0,Анекдот про экзамены для строгого пожилого учителя был обидным,SG-PL-SG,SG,PL,SG,bert,12.891366004943848
russian,2,0,Анекдот про экзамены для строгого пожилого учителя были обидными,SG-PL-PL,SG,PL,PL,bert,12.363039016723633
russian,2,0,Анекдоты про экзамен для строгого пожилого учителя был обидным,PL-SG-SG,PL,SG,SG,bert,13.517587661743164
russian,2,0,Анекдоты про экзамен для строгого пожилого учителя были обидными,PL-SG-PL,PL,SG,PL,bert,12.597757339477539
russian,2,0,Анекдоты про экзамены для строгого пожилого учителя был обидным,PL-PL-SG,PL,PL,SG,bert,13.324621200561523
russian,2,0,Анекдоты про экзамены для строгого пожилого учителя были обидными,PL-PL-PL,PL,PL,PL,bert,12.570246696472168
russian,3,0,Арка во двор в несущей конструкции здания была проделана,SG-SG-SG,SG,SG,SG,bert,12.497063636779785
russian,3,0,Арка во двор в несущей конструкции здания были проделаны,SG-SG-PL,SG,SG,PL,bert,11.611278533935547
russian,3,0,Арка во дворы в несущей конструкции здания была проделана,SG-PL-SG,SG,PL,SG,bert,12.428285598754883
russian,3,0,Арка во дворы в несущей конструкции здания были проделаны,SG-PL-PL,SG,PL,PL,bert,11.674505233764648
russian,3,0,Арки во двор в несущей конструкции здания была проделана,PL-SG-SG,PL,SG,SG,bert,13.517614364624023
russian,3,0,Арки во двор в несущей конструкции здания были проделаны,PL-SG-PL,PL,SG,PL,bert,12.231002807617188
russian,3,0,Арки во дворы в несущей конструкции здания была проделана,PL-PL-SG,PL,PL,SG,bert,13.635295867919922
russian,3,0,Арки во дворы в несущей конструкции здания были проделаны,PL-PL-PL,PL,PL,PL,bert,12.24069595336914
russian,4,0,Атака на крепость из-за стратегической ошибки полководца была безуспешной,SG-SG-SG,SG,SG,SG,bert,13.32694149017334
russian,4,0,Атака на крепость из-за стратегической ошибки полководца были безуспешными,SG-SG-PL,SG,SG,PL,bert,12.70689582824707
russian,4,0,Атака на крепости из-за стратегической ошибки полководца была безуспешной,SG-PL-SG,SG,PL,SG,bert,13.338478088378906
russian,4,0,Атака на крепости из-за стратегической ошибки полководца были безуспешными,SG-PL-PL,SG,PL,PL,bert,12.696074485778809
russian,4,0,Атаки на крепость из-за стратегической ошибки полководца была безуспешной,PL-SG-SG,PL,SG,SG,bert,14.052717208862305
russian,4,0,Атаки на крепость из-за стратегической ошибки полководца были безуспешными,PL-SG-PL,PL,SG,PL,bert,13.63376522064209
russian,4,0,Атаки на крепости из-за стратегической ошибки полководца была безуспешной,PL-PL-SG,PL,PL,SG,bert,14.036260604858398
russian,4,0,Атаки на крепости из-за стратегической ошибки полководца были безуспешными,PL-PL-PL,PL,PL,PL,bert,13.569448471069336
russian,5,0,Билет в музей во время уличной демонстрации был утерян,SG-SG-SG,SG,SG,SG,bert,14.338600158691406
russian,5,0,Билет в музей во время уличной демонстрации были утеряны,SG-SG-PL,SG,SG,PL,bert,12.122230529785156
russian,5,0,Билет в музеи во время уличной демонстрации был утерян,SG-PL-SG,SG,PL,SG,bert,14.338600158691406
russian,5,0,Билет в музеи во время уличной демонстрации были утеряны,SG-PL-PL,SG,PL,PL,bert,12.122230529785156
russian,5,0,Билеты в музей во время уличной демонстрации был утерян,PL-SG-SG,PL,SG,SG,bert,14.369495391845703
russian,5,0,Билеты в музей во время уличной демонстрации были утеряны,PL-SG-PL,PL,SG,PL,bert,12.137752532958984
russian,5,0,Билеты в музеи во время уличной демонстрации был утерян,PL-PL-SG,PL,PL,SG,bert,14.369495391845703
russian,5,0,Билеты в музеи во время уличной демонстрации были утеряны,PL-PL-PL,PL,PL,PL,bert,12.137752532958984
russian,6,0,Взгляд на снимок из-под длинных опущенных ресниц был брошен,SG-SG-SG,SG,SG,SG,bert,13.00001335144043
russian,6,0,Взгляд на снимок из-под длинных опущенных ресниц были брошены,SG-SG-PL,SG,SG,PL,bert,11.544742584228516
russian,6,0,Взгляд на снимки из-под длинных опущенных ресниц был брошен,SG-PL-SG,SG,PL,SG,bert,12.961402893066406
russian,6,0,Взгляд на снимки из-под длинных опущенных ресниц были брошены,SG-PL-PL,SG,PL,PL,bert,11.597460746765137
russian,6,0,Взгляды на снимок из-под длинных опущенных ресниц был брошен,PL-SG-SG,PL,SG,SG,bert,13.89233684539795
russian,6,0,Взгляды на снимок из-под длинных опущенных ресниц были брошены,PL-SG-PL,PL,SG,PL,bert,11.838947296142578
russian,6,0,Взгляды на снимки из-под длинных опущенных ресниц был брошен,PL-PL-SG,PL,PL,SG,bert,13.895235061645508
russian,6,0,Взгляды на снимки из-под длинных опущенных ресниц были брошены,PL-PL-PL,PL,PL,PL,bert,11.833942413330078
russian,7,0,Возражение на упрёк без излишне бурных эмоций было принято,SG-SG-SG,SG,SG,SG,bert,12.069437026977539
russian,7,0,Возражение на упрёк без излишне бурных эмоций были приняты,SG-SG-PL,SG,SG,PL,bert,9.608388900756836
russian,7,0,Возражение на упреки без излишне бурных эмоций было принято,SG-PL-SG,SG,PL,SG,bert,11.999526977539062
russian,7,0,Возражение на упреки без излишне бурных эмоций были приняты,SG-PL-PL,SG,PL,PL,bert,9.68036937713623
russian,7,0,Возражения на упрёк без излишне бурных эмоций было принято,PL-SG-SG,PL,SG,SG,bert,12.661247253417969
russian,7,0,Возражения на упрёк без излишне бурных эмоций были приняты,PL-SG-PL,PL,SG,PL,bert,9.97878646850586
russian,7,0,Возражения на упреки без излишне бурных эмоций было принято,PL-PL-SG,PL,PL,SG,bert,12.645861625671387
