Item,Condition,Stimulus,NP_Number,Auxiliary,Full_Sentence,model_type,source_file,surprisal
1,a,The slogan on the poster,singular,is,The slogan on the poster is designed to get attention.,bert,no_syn,1.9608827829360962
1,b,The slogan on the posters,plural,is,The slogan on the posters is designed to get attention.,bert,no_syn,1.875413417816162
1,c,The slogan on the poster,singular,are,The slogan on the poster are designed to get attention.,bert,no_syn,8.755752563476562
1,d,The slogan on the posters,plural,are,The slogan on the posters are designed to get attention.,bert,no_syn,5.133320331573486
2,a,The picture on the flier,singular,is,The picture on the flier is of a village church in the south of France.,bert,no_syn,0.26775726675987244
2,b,The picture on the fliers,plural,is,The picture on the fliers is of a village church in the south of France.,bert,no_syn,0.1900864690542221
2,c,The picture on the flier,singular,are,The picture on the flier are of a village church in the south of France.,bert,no_syn,7.436429500579834
2,d,The picture on the fliers,plural,are,The picture on the fliers are of a village church in the south of France.,bert,no_syn,3.3771352767944336
3,a,The mistake in the program,singular,is,The mistake in the program is disastrous for the small software company.,bert,no_syn,3.279646396636963
3,b,The mistake in the programs,plural,is,The mistake in the programs is disastrous for the small software company.,bert,no_syn,4.1182427406311035
3,c,The mistake in the program,singular,are,The mistake in the program are disastrous for the small software company.,bert,no_syn,10.399535179138184
3,d,The mistake in the programs,plural,are,The mistake in the programs are disastrous for the small software company.,bert,no_syn,8.858039855957031
4,a,The label on the container,singular,is,The label on the container is a warning about the hazardous chemicals inside.,bert,no_syn,2.5570719242095947
4,b,The label on the containers,plural,is,The label on the containers is a warning about the hazardous chemicals inside.,bert,no_syn,2.4406466484069824
4,c,The label on the container,singular,are,The label on the container are a warning about the hazardous chemicals inside.,bert,no_syn,9.317720413208008
4,d,The label on the containers,plural,are,The label on the containers are a warning about the hazardous chemicals inside.,bert,no_syn,8.71971321105957
5,a,The problem in the store,singular,is,The problem in the store is solved by firing the custodian.,bert,no_syn,0.15766394138336182
5,b,The problem in the stores,plural,is,The problem in the stores is solved by firing the custodian.,bert,no_syn,0.3561292588710785
5,c,The problem in the store,singular,are,The problem in the store are solved by firing the custodian.,bert,no_syn,6.5443267822265625
5,d,The problem in the stores,plural,are,The problem in the stores are solved by firing the custodian.,bert,no_syn,3.030097484588623
6,a,The name on the billboard,singular,is,The name on the billboard is of a prominent local businessman.,bert,no_syn,2.03961181640625
6,b,The name on the billboards,plural,is,The name on the billboards is of a prominent local businessman.,bert,no_syn,2.88285756111145
6,c,The name on the billboard,singular,are,The name on the billboard are of a prominent local businessman.,bert,no_syn,11.208246231079102
6,d,The name on the billboards,plural,are,The name on the billboards are of a prominent local businessman.,bert,no_syn,10.25772762298584
7,a,The crime in the suburb,singular,is,The crime in the suburb is a reflection of the violence in today's society.,bert,no_syn,0.14272728562355042
7,b,The crime in the suburbs,plural,is,The crime in the suburbs is a reflection of the violence in today's society.,bert,no_syn,0.16414709389209747
7,c,The crime in the suburb,singular,are,The crime in the suburb are a reflection of the violence in today's society.,bert,no_syn,5.478107929229736
7,d,The crime in the suburbs,plural,are,The crime in the suburbs are a reflection of the violence in today's society.,bert,no_syn,4.216811656951904
8,a,The defect in the appliance,singular,is,The defect in the appliance is unknown to consumers and government regulators.,bert,no_syn,0.5117930173873901
8,b,The defect in the appliances,plural,is,The defect in the appliances is unknown to consumers and government regulators.,bert,no_syn,0.45147693157196045
8,c,The defect in the appliance,singular,are,The defect in the appliance are unknown to consumers and government regulators.,bert,no_syn,6.384699821472168
8,d,The defect in the appliances,plural,are,The defect in the appliances are unknown to consumers and government regulators.,bert,no_syn,4.927019119262695
9,a,The citation on the notecard,singular,is,The citation on the notecard is quite difficult to track down using the library's limited resources.,bert,no_syn,0.5070542097091675
9,b,The citation on the notecards,plural,is,The citation on the notecards is quite difficult to track down using the library's limited resources.,bert,no_syn,0.5507721304893494
9,c,The citation on the notecard,singular,are,The citation on the notecard are quite difficult to track down using the library's limited resources.,bert,no_syn,2.7117929458618164
9,d,The citation on the notecards,plural,are,The citation on the notecards are quite difficult to track down using the library's limited resources.,bert,no_syn,2.126823902130127
10,a,The advertisement on the skyscraper,singular,is,The advertisement on the skyscraper is hard to read except from a long distance away.,bert,no_syn,2.330866813659668
10,b,The advertisement on the skyscrapers,plural,is,The advertisement on the skyscrapers is hard to read except from a long distance away.,bert,no_syn,2.438554048538208
10,c,The advertisement on the skyscraper,singular,are,The advertisement on the skyscraper are hard to read except from a long distance away.,bert,no_syn,7.554903030395508
10,d,The advertisement on the skyscrapers,plural,are,The advertisement on the skyscrapers are hard to read except from a long distance away.,bert,no_syn,3.8435966968536377
11,a,The traitor in the camp,singular,is,The traitor in the camp is passing information to the enemy through various secret methods.,bert,no_syn,0.5333255529403687
11,b,The traitor in the camps,plural,is,The traitor in the camps is passing information to the enemy through various secret methods.,bert,no_syn,1.0024070739746094
11,c,The traitor in the camp,singular,are,The traitor in the camp are passing information to the enemy through various secret methods.,bert,no_syn,6.211830139160156
11,d,The traitor in the camps,plural,are,The traitor in the camps are passing information to the enemy through various secret methods.,bert,no_syn,4.474125385284424
12,a,The flaw in the argument,singular,is,The flaw in the argument is clear to everyone in the lecture hall after just five minutes.,bert,no_syn,5.570879936218262
12,b,The flaw in the arguments,plural,is,The flaw in the arguments is clear to everyone in the lecture hall after just five minutes.,bert,no_syn,5.655563831329346
12,c,The flaw in the argument,singular,are,The flaw in the argument are clear to everyone in the lecture hall after just five minutes.,bert,no_syn,10.703701972961426
12,d,The flaw in the arguments,plural,are,The flaw in the arguments are clear to everyone in the lecture hall after just five minutes.,bert,no_syn,9.160558700561523
13,a,The door to the laboratory,singular,is,The door to the laboratory is left unlocked by the cleaning service.,bert,no_syn,2.932753562927246
13,b,The door to the laboratories,plural,is,The door to the laboratories is left unlocked by the cleaning service.,bert,no_syn,2.6384027004241943
