lg,item,syn,sentence,condition,headn,attn,verbn,model_type,surprisal
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladılar,condition_a,sg,pl,pl,bert,25.92676830291748
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladı,condition_b,sg,pl,sg,bert,23.658567428588867
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladılar,condition_c,sg,sg,pl,bert,26.40284252166748
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladı,condition_d,sg,sg,sg,bert,23.29256534576416
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldılar,condition_a,sg,pl,pl,bert,14.388209342956543
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldı,condition_b,sg,pl,sg,bert,5.032630920410156
turkish,2,0,öğrencinin ablası sınıfta birden bayıldılar,condition_c,sg,sg,pl,bert,17.203107833862305
turkish,2,0,öğrencinin ablası sınıfta birden bayıldı,condition_d,sg,sg,sg,bert,5.727380752563477
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,bert,9.883897304534912
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,bert,1.7693219184875488
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,bert,12.449169635772705
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,bert,1.632418155670166
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldüler,condition_a,sg,pl,pl,bert,15.449091911315918
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldü,condition_b,sg,pl,sg,bert,7.81079626083374
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldüler,condition_c,sg,sg,pl,bert,15.494528770446777
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldü,condition_d,sg,sg,sg,bert,8.378113746643066
turkish,5,0,kızların halası sabaha kadar ağladılar,condition_a,sg,pl,pl,bert,10.874507904052734
turkish,5,0,kızların halası sabaha kadar ağladı,condition_b,sg,pl,sg,bert,5.175559043884277
turkish,5,0,kızın halası sabaha kadar ağladılar,condition_c,sg,sg,pl,bert,12.312009572982788
turkish,5,0,kızın halası sabaha kadar ağladı,condition_d,sg,sg,sg,bert,5.025176525115967
turkish,6,0,damatların dayısı arada sırada sıkıldılar,condition_a,sg,pl,pl,bert,18.768810272216797
